url_count,suspicious_keyword_count,sender_suspicious,body_length,label
1,0,0,273,1
1,0,0,82,1
24,0,0,3918,1
652,2,0,24418,0
1,0,0,175,1
0,0,0,93,1
0,0,0,115,1
24,0,0,3918,1
1,0,0,450,0
24,0,0,3918,1
2,1,0,497,1
1,0,0,386,1
24,0,0,3918,1
24,0,0,3896,1
1,0,0,673,1
3,0,0,2040,0
24,0,0,3896,1
24,0,0,3897,1
11,1,0,10830,0
10,3,0,13442,0
4,0,0,1204,0
0,0,0,4161,0
1,0,0,865,0
1,4,0,1845,0
0,0,0,425,0
0,0,0,68,1
1,0,0,96,1
0,5,0,3154,0
1,0,0,65,1
0,0,0,567,1
24,0,0,4226,1
0,0,0,267,1
1,1,0,341,1
0,0,0,2102,0
1,0,0,887,0
24,0,0,3894,1
1,0,0,82,1
0,1,0,174,1
1,0,0,969,0
1,0,0,297,1
0,0,0,279,1
24,0,0,3918,1
0,0,0,438,1
3,0,0,1521,0
1,0,0,778,0
0,9,0,2346,0
1,0,0,97,1
0,0,0,3018,0
24,0,0,3892,1
24,0,0,3918,1
4,1,0,1784,0
0,0,0,799,0
0,0,0,938,0
1,0,0,860,0
3,0,0,1209,0
3,0,0,1764,0
29,1,0,12338,0
3,0,0,2341,0
0,0,0,67,1
4,0,0,1689,0
0,0,0,765,0
1,0,0,321,1
0,0,0,214,1
2,0,0,1126,0
1,0,0,272,1
2,0,0,1470,0
0,0,0,57,1
24,0,0,3918,1
0,0,0,319,1
24,0,0,3918,1
24,0,0,3918,1
1,2,0,476,1
1,0,0,183,1
4,3,0,6468,0
1,0,0,163,1
24,0,0,3918,1
1,0,0,307,1
2,0,0,1174,0
1,0,0,155,1
24,0,0,3918,1
1,0,0,150,1
1,0,0,154,1
0,0,0,276,1
0,1,0,975,0
1,0,0,258,1
24,0,0,3918,1
1,1,0,290,1
1,0,0,104,1
0,0,0,489,0
0,0,0,218,1
24,0,0,3918,1
0,0,0,4682,0
5,3,0,7236,0
2,0,0,868,0
24,0,0,3894,1
2,0,0,651,0
3,0,0,1266,0
2,0,0,1299,0
0,3,0,1110,0
0,0,0,71,0
1,0,0,170,1
11,2,0,13142,0
0,1,0,789,1
2,1,0,494,1
24,0,0,3918,1
24,0,0,3918,1
1,0,0,67,1
0,0,0,225,1
1,0,0,383,1
13,6,0,4246,0
24,0,0,3918,1
0,1,0,147,1
24,0,0,3891,1
1,0,0,320,1
24,0,0,3918,1
3,0,0,1201,0
1,0,0,430,1
1,0,0,302,1
2,0,0,535,0
0,0,0,2341,0
24,0,0,3918,1
4,0,0,609,0
0,0,0,682,0
1,0,0,871,0
3,0,0,426,0
0,0,0,588,0
0,3,0,972,0
0,0,0,608,0
0,0,0,125,1
24,0,0,3918,1
1,0,0,87,1
5,0,0,1963,0
1,0,0,67,1
24,0,0,3918,1
1,0,0,149,1
24,0,0,3918,1
4,2,0,12112,0
1,0,0,117,1
1,0,0,93,1
3,0,0,501,1
3,0,0,493,1
1,0,0,238,1
24,0,0,3918,1
1,2,0,13883,0
12,0,0,3273,0
10,2,0,3198,0
0,0,0,850,0
1,0,0,323,0
0,1,0,2392,0
1,0,0,434,0
0,3,0,4514,0
1,0,0,90,1
3,3,0,3551,0
1,8,0,46219,0
0,1,0,155,1
1,2,0,469,1
24,0,0,3894,1
24,0,0,3893,1
24,0,0,3918,1
0,0,0,88,1
0,0,0,92,1
2,0,0,1085,0
3,0,0,640,0
0,0,0,929,0
5,0,0,847,0
0,2,0,1785,1
2,1,0,2044,0
2,0,0,13529,0
1,6,0,47712,0
0,0,0,958,0
1,0,0,127,1
5,3,0,3338,0
24,0,0,3918,1
24,0,0,3918,1
1,0,0,398,1
1,0,0,308,1
1,0,0,249,1
1,0,0,149,1
1,0,0,173,1
0,0,0,299,1
1,5,0,51321,0
24,0,0,3918,1
1,0,0,97,1
1,2,0,13953,0
24,0,0,3918,1
0,0,0,815,0
0,0,0,375,0
1,1,0,476,0
1,1,0,323,0
2,0,0,2780,0
4,1,0,2807,0
14,1,0,14598,0
1,0,0,173,1
0,0,0,368,1
1,2,0,36631,0
1,0,0,331,1
24,0,0,3918,1
24,0,0,3918,1
0,0,0,4463,0
24,0,0,3918,1
24,0,0,3918,1
2,0,0,161,1
0,2,0,3483,0
1,0,0,122,1
1,0,0,105,1
2,0,0,649,1
1,0,0,125,1
2,0,0,2742,0
0,4,0,8128,0
8,6,0,8183,0
2,0,0,1654,0
4,0,0,9651,0
1,2,0,26295,0
4,9,0,1366,0
24,0,0,3892,1
86,0,0,16932,0
1,0,0,110,1
1,0,0,1860,0
24,0,0,3918,1
24,0,0,3918,1
2,0,0,4595,0
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3893,1
24,0,0,3918,1
24,0,0,3918,1
4,0,0,1207,0
1,0,0,84,1
24,0,0,3918,1
0,0,0,200,1
4,0,0,1961,0
1,0,0,298,1
24,0,0,3918,1
24,0,0,3918,1
0,11,0,1514,0
24,0,0,3918,1
1,0,0,3148,0
24,0,0,3892,1
1,2,0,33228,0
24,0,0,3891,1
24,0,0,3894,1
5,1,0,2415,0
14,3,0,3948,0
1,0,0,937,0
0,0,0,187,0
8,0,0,4372,0
24,0,0,3895,1
0,1,0,838,0
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3895,1
1,4,0,25011,0
24,0,0,3918,1
1,0,0,280,1
24,0,0,3918,1
0,0,0,188,0
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3906,1
24,0,0,3894,1
24,0,0,3895,1
24,0,0,3894,1
1,0,0,345,1
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3918,1
1,0,0,285,1
0,0,0,187,0
0,0,0,994,0
0,0,0,1148,0
0,0,0,744,0
121,124,0,28723,0
0,0,0,183,0
1,0,0,289,1
1,0,0,338,1
24,0,0,3918,1
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3895,1
0,0,0,239,1
24,0,0,3895,1
0,0,0,95,1
24,0,0,3918,1
0,0,0,726,0
1,0,0,73,1
24,0,0,3918,1
1,0,0,96,1
0,0,0,1280,0
0,0,0,69,1
1,0,0,114,1
1,0,0,70,1
2,0,0,167,1
23,1,0,3696,0
0,0,0,1669,0
24,0,0,3895,1
24,0,0,3889,1
24,0,0,3895,1
1,10,0,41412,0
0,0,0,1017,0
0,0,0,466,0
5,2,0,5838,0
24,0,0,3895,1
24,0,0,3893,1
1,1,0,836,0
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3892,1
4,0,0,3462,0
1,0,0,201,1
24,0,0,3918,1
0,0,0,61,1
3,0,0,654,0
1,0,0,266,1
0,0,0,287,1
1,0,0,113,1
0,7,0,2134,0
1,0,0,72,1
24,0,0,3895,1
24,0,0,3895,1
1,0,0,345,1
24,0,0,3894,1
24,0,0,3895,1
0,1,0,1234,0
24,0,0,3895,1
0,9,0,2901,0
2,0,0,1256,0
0,3,0,648,0
0,0,0,580,0
3,1,0,879,0
2,0,0,1312,0
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3895,1
0,0,0,1334,0
24,0,0,3895,1
1,1,0,487,0
1,0,0,160,1
0,0,0,285,1
0,0,0,120,1
1,0,0,961,0
1,0,0,181,1
1,0,0,68,1
24,0,0,3918,1
0,0,0,256,1
1,0,0,78,1
2,0,0,1069,0
24,0,0,3895,1
1,0,0,283,1
1,0,0,645,1
24,0,0,3894,1
1,0,0,173,1
24,0,0,3891,1
0,0,0,342,0
1,0,0,385,1
2,0,0,378,0
2,0,0,143,1
0,0,0,983,0
0,2,0,2858,0
2,1,0,1035,0
24,0,0,3894,1
36,5,0,5439,0
24,0,0,3895,1
1,1,0,4600,0
2,0,0,2144,0
1,1,0,1300,0
1,1,0,208,1
24,0,0,3894,1
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3895,1
0,0,0,73,1
30,0,0,12234,0
24,0,0,3918,1
2,0,0,198,1
24,0,0,3918,1
1,5,0,3094,0
0,0,0,32,1
24,0,0,3918,1
24,0,0,3918,1
1,0,0,93,1
4,5,0,2494,0
1,0,0,123,1
1,0,0,71,1
24,0,0,3918,1
1,0,0,282,1
24,0,0,3895,1
1,0,0,722,0
24,0,0,3892,1
0,0,0,51,1
4,2,0,2373,0
1,0,0,369,0
0,0,0,796,0
0,0,0,554,0
1,1,0,2886,0
1,1,0,1249,0
24,0,0,3895,1
24,0,0,3894,1
0,0,0,632,0
1,1,0,4020,0
24,0,0,3918,1
24,0,0,3918,1
0,0,0,205,1
1,0,0,661,0
0,0,0,1057,0
2,0,0,159,1
1,0,0,75,1
0,0,0,214,1
24,0,0,3895,1
24,0,0,3918,1
1,0,0,412,0
1,0,0,108,1
8,0,0,3256,0
24,0,0,3918,1
0,1,0,1749,0
1,0,0,91,1
24,0,0,3918,1
0,0,0,95,1
0,0,0,878,0
1,0,0,164,1
2,0,0,200,1
0,2,0,1535,0
1,0,0,71,1
1,0,0,98,1
1,1,0,12084,0
2,0,0,182,1
2,0,0,1825,0
0,0,0,399,0
1,0,0,371,0
1,0,0,824,0
1,0,0,168,1
24,0,0,3895,1
1,2,0,4051,0
3,5,0,6647,0
7,3,0,1626,0
1,0,0,1002,0
24,0,0,3895,1
24,0,0,3887,1
1,32,1,5329,0
2,0,0,182,1
1,0,0,94,1
3,0,0,694,0
2,0,0,185,1
2,0,0,141,1
1,0,0,173,1
53,1,0,9466,0
1,0,0,313,1
1,0,0,98,1
0,0,0,436,1
1,0,0,66,1
0,0,0,268,1
1,0,0,405,1
1,0,0,308,1
24,0,0,3894,1
1,0,0,66,1
24,0,0,3895,1
0,0,0,272,1
1,0,0,64,1
15,3,0,4909,0
0,0,0,268,1
1,0,0,277,1
0,0,0,450,1
1,1,0,507,1
1,0,0,443,0
1,0,0,191,1
1,0,0,222,1
1,0,0,224,1
1,0,0,93,1
0,0,0,226,0
1,0,0,111,1
24,0,0,3894,1
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3918,1
0,0,0,50,1
2,0,0,144,1
24,0,0,3918,1
1,0,0,337,1
1,19,0,7102,0
0,0,0,43,1
1,0,0,234,1
15,1,0,7189,0
1,3,0,502,0
0,0,0,290,0
1,0,0,562,0
0,2,0,386,0
1,0,0,72,1
4,0,0,1149,0
0,0,0,187,0
2,0,0,1970,0
24,0,0,3895,1
1,0,0,197,1
1,0,0,131,1
1,0,0,140,1
2,0,0,170,1
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3918,1
0,5,0,1089,0
1,0,0,189,1
2,0,0,163,1
2,1,0,5723,0
0,0,0,607,1
24,0,0,3918,1
0,2,0,3980,0
4,1,0,2596,0
1,0,0,404,1
0,2,0,607,0
0,0,0,471,0
0,5,0,1802,0
0,0,0,375,0
1,1,0,1755,0
1,0,0,1023,0
3,5,0,1134,0
0,1,0,1570,0
1,0,0,227,1
0,0,0,45,1
1,1,0,837,0
0,0,0,1205,0
1,0,0,269,1
1,1,0,200,1
24,0,0,3918,1
1,1,0,190,1
0,0,0,581,0
4,0,0,2317,0
24,0,0,3918,1
1,0,0,174,1
24,0,0,3918,1
1,0,0,62,1
1,0,0,564,0
1,0,0,472,1
1,0,0,218,1
24,0,0,3918,1
1,7,0,4427,0
2,2,0,2019,0
2,0,0,161,1
1,0,0,98,1
0,0,0,129,1
1,0,0,231,1
0,0,0,624,0
0,0,0,344,0
3,2,0,32821,0
0,0,0,150,0
1,0,0,952,0
1,1,0,1630,0
1,0,0,545,0
1,0,0,67,1
1,1,0,3230,0
0,0,0,129,1
1,0,0,120,1
0,0,0,1199,0
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3918,1
1,0,0,152,1
1,1,0,443,0
1,1,0,192,1
5,2,0,9175,0
24,0,0,3918,1
1,0,0,83,1
1,0,0,124,1
2,1,0,6587,0
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3918,1
1,1,0,978,0
1,0,0,94,1
24,0,0,3918,1
0,0,0,449,1
0,0,0,3373,0
3,0,0,4331,0
1,0,0,112,1
1,0,0,92,1
24,0,0,3918,1
1,0,0,171,1
2,0,0,2093,0
1,13,0,4739,0
1,1,0,442,0
11,5,0,7298,0
0,0,0,363,0
1,1,0,701,0
2,0,0,589,0
2,0,0,3167,0
1,0,0,544,1
1,1,0,3918,0
1,0,0,533,1
1,0,0,150,1
1,2,0,330,1
1,0,0,228,0
0,0,0,513,0
1,0,0,218,1
1,0,0,150,1
24,0,0,3918,1
1,0,0,86,1
0,0,0,851,0
1,0,0,67,1
24,0,0,3889,1
1,0,0,538,1
1,0,0,103,1
1,0,0,193,1
0,1,0,1177,0
24,0,0,3918,1
24,0,0,3918,1
24,0,0,3918,1
0,3,0,1348,1
1,0,0,93,1
0,0,0,1092,0
2,0,0,153,1
1,0,0,114,1
24,0,0,3890,1
0,0,0,393,0
11,1,0,4908,0
0,2,0,1058,0
2,1,0,879,0
1,1,0,1106,0
0,0,0,1589,0
0,1,0,3231,0
3,3,0,967,0
17,2,0,6515,0
0,11,0,1987,0
0,0,0,107,1
1,0,0,99,1
1,0,0,253,1
1,0,0,225,1
0,0,0,867,0
1,0,0,212,1
24,0,0,3918,1
0,1,0,2907,0
2,0,0,140,1
2,0,0,954,0
1,0,0,116,1
1,0,0,64,1
1,0,0,218,1
24,0,0,3918,1
1,0,0,172,1
24,0,0,3918,1
2,0,0,866,0
1,0,0,111,1
24,0,0,3918,1
24,0,0,3918,1
0,0,0,3310,0
1,0,0,153,1
1,0,0,341,0
1,0,0,643,1
1,0,0,115,1
2,0,0,1500,0
1,0,0,161,0
2,9,0,1059,0
0,0,0,750,0
1,1,0,1424,0
0,0,0,1071,0
1,1,0,459,0
1,0,0,154,1
24,0,0,3893,1
1,1,0,7388,0
24,0,0,3894,1
24,0,0,3918,1
1,1,0,870,0
1,1,0,1065,1
1,0,0,156,1
0,4,0,1206,0
24,0,0,3918,1
1,0,0,71,1
1,0,0,129,1
24,0,0,3918,1
3,1,0,3960,0
24,0,0,3895,1
24,0,0,3895,1
1,0,0,103,1
24,0,0,3891,1
24,0,0,3918,1
0,0,0,1360,0
2,0,0,171,1
0,0,0,170,1
0,0,0,302,0
1,1,0,2208,0
1,1,0,1915,0
0,0,0,979,0
1,1,0,1143,0
0,0,0,447,0
1,0,0,480,0
0,0,0,1843,0
24,0,0,3918,1
1,0,0,177,1
1,1,0,559,0
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3895,1
24,0,0,3895,1
1,0,0,691,0
1,0,0,102,1
1,0,0,155,1
4,1,0,6226,0
1,0,0,575,1
1,0,0,173,1
2,1,0,1047,0
1,1,0,182,1
1,0,0,220,1
1,4,0,57732,0
1,0,0,208,1
24,0,0,3894,1
24,0,0,3918,1
24,0,0,3894,1
24,0,0,3895,1
0,9,0,9456,0
24,0,0,3905,1
24,0,0,3905,1
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3895,1
24,0,0,3895,1
1,0,0,100,1
24,0,0,3918,1
2,0,0,172,1
1,0,0,72,1
7,1,0,8372,0
24,0,0,3894,1
24,0,0,3894,1
0,0,0,261,1
0,5,0,32888,0
1,0,0,317,0
24,0,0,3894,1
2,0,0,394,0
0,1,0,1957,0
24,0,0,3894,1
0,0,0,4600,0
1,1,0,2622,0
1,6,0,43434,0
2,0,0,422,1
0,0,0,51,1
1,0,0,332,1
1,0,0,1562,0
1,0,0,126,1
24,0,0,3918,1
1,0,0,179,1
24,0,0,3918,1
1,4,0,12931,0
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3895,1
0,3,0,1504,1
24,0,0,3894,1
0,1,0,3110,0
0,0,0,438,1
24,0,0,3895,1
24,0,0,3918,1
10,1,0,5217,0
2,0,0,364,0
1,3,0,3241,0
1,0,0,1051,0
0,6,0,827,0
1,3,0,29448,0
24,0,0,3894,1
24,0,0,3894,1
1,3,0,970,0
24,0,0,3894,1
1,0,0,473,0
1,2,0,32711,0
1,0,0,152,1
24,0,0,3918,1
0,1,0,164,1
1,2,0,32434,0
1,0,0,112,1
1,0,0,207,1
1,0,0,103,1
24,0,0,3894,1
4,0,0,1237,0
24,0,0,3918,1
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3894,1
1,0,0,31,1
1,0,0,180,1
24,0,0,3895,1
2,1,0,507,0
1,0,0,320,1
1,0,0,207,1
1,4,0,46313,0
1,0,0,112,1
24,0,0,3918,1
1,0,0,112,1
1,0,0,802,0
0,0,0,2751,0
0,0,0,1292,0
1,0,0,316,0
24,0,0,3895,1
24,0,0,3903,1
24,0,0,3894,1
0,1,0,2016,0
1,5,0,29201,0
0,3,0,5053,0
1,0,0,770,0
24,0,0,3918,1
1,0,0,287,1
24,0,0,3895,1
24,0,0,3918,1
24,0,0,3894,1
0,1,0,4374,0
24,0,0,3895,1
0,0,0,89,1
24,0,0,3895,1
0,0,0,129,1
1,0,0,225,1
1,0,0,478,1
1,1,0,4696,0
1,0,0,96,1
0,9,0,2019,0
0,0,0,2237,0
24,0,0,3918,1
1,1,0,956,1
24,0,0,3894,1
24,0,0,3918,1
2,0,0,325,0
1,0,0,575,0
1,0,0,1326,0
0,1,0,2390,0
1,1,0,1362,0
24,0,0,3895,1
2,1,0,6140,0
24,0,0,3895,1
1,0,0,653,0
0,3,0,1579,0
0,0,0,542,0
24,0,0,3894,1
0,0,0,516,0
1,0,0,198,1
0,0,0,381,0
1,0,0,243,1
0,0,0,330,1
24,0,0,3918,1
0,0,0,266,1
10,0,0,5310,0
1,2,0,442,0
24,0,0,3903,1
0,1,0,183,1
1,0,0,163,1
24,0,0,3896,1
1,0,0,144,1
2,1,0,6615,0
0,4,0,441,0
2,2,0,3295,0
1,0,0,714,0
1,0,0,1361,0
1,0,0,940,0
2,0,0,460,0
2,0,0,363,0
1,0,0,826,0
1,0,0,76,1
24,0,0,3918,1
1,2,0,933,0
1,1,0,2459,0
1,0,0,190,1
0,1,0,113,1
0,0,0,50,1
0,1,0,2576,0
1,0,0,110,1
0,0,0,275,1
2,1,0,6914,0
1,0,0,169,1
2,0,0,630,1
7,0,0,1410,0
24,0,0,3918,1
1,1,0,1841,0
2,0,0,355,0
0,2,0,4099,0
12,0,0,2485,0
0,0,0,276,0
1,3,0,43772,0
1,0,0,560,0
1,1,0,850,0
1,0,0,180,1
1,0,0,223,1
1,1,0,6108,0
24,0,0,3918,1
0,0,0,266,1
2,0,0,3141,0
1,0,0,307,1
1,0,0,224,1
0,1,0,1297,0
24,0,0,3918,1
3,1,0,4291,0
0,0,0,74,1
0,3,0,1348,1
0,0,0,78,1
0,0,0,230,1
1,0,0,574,1
4,0,0,3386,0
24,0,0,3918,1
1,0,0,316,1
1,0,0,188,1
0,3,0,1348,1
0,0,0,1883,0
0,0,0,832,0
0,0,0,3038,0
0,0,0,1683,0
1,3,0,50469,0
3,0,0,4517,0
0,0,0,1119,0
1,8,0,27795,0
10,0,0,4813,0
1,0,0,237,1
0,0,0,481,1
0,1,0,1145,0
24,0,0,3918,1
2,0,0,3338,0
0,0,0,83,1
2,0,0,995,0
1,0,0,1851,1
0,0,0,111,1
7,2,0,4531,0
2,0,0,183,1
1,0,0,104,1
2,0,0,4088,0
24,0,0,3918,1
24,0,0,3918,1
0,0,0,319,0
1,0,0,470,1
1,0,0,3917,0
1,0,0,68,1
0,3,0,998,0
0,2,0,2292,0
2,0,0,430,0
1,4,0,33862,0
0,1,0,2500,0
2,0,0,1708,0
2,2,0,1186,0
3,0,0,508,0
1,0,0,170,1
24,0,0,3918,1
0,0,0,252,1
1,4,0,6574,0
0,0,0,463,1
